class,species,common.name,latitude,longitute,temp,NPP,daylength,mass.g,FMR.kJ.day,diet,reference,notes
Birds,Barnardius zonarius,Port Lincoln parrot,-29.53333333,115.7666667,25.25,0.69032,13.86234233,145,189,omn,"108, 170",
Birds,Cacatua roseicapilla,Galah,-29.53333333,115.7666667,25.25,0.69032,13.86234233,307,349,omn,"108, 170",
Birds,Delichon urbica,House martin,56,-4,12.85,3.12387,17.26922409,19,80.15,carn,"108, 157",
Birds,Diomedea exulans,Wandering albatross,-46.86666667,37.85,,,,8420,3350,carn,"108, 2",lat/long wrong in original data set (corrected now)
Birds,Eremiornis carteri,Spinifexbird,-20.76666667,115,25.8,,,12,51.5,carn,"108, 3",
Birds,Geophaps plumifera,Spinifex pigeon,-21,118,26.45,1.28613,13.25941741,87,76,herb,"108, 163",
Birds,Hirundo rustica,Barn swallow,56,-4,12.85,3.12387,17.26922409,20.4,104,carn,"108, 157",
Birds,Junco hyemalis,Dark-eyed junco,31.91666667,-109,4.4,0.85032,9.93350952,17.8,70.5,omn,"108, 156",
Birds,Junco hyemalis,Dark-eyed junco,31.91666667,-109,22.43333333,0.85032,13.91098201,21.4,82.7,omn,"108, 156",
Birds,Junco phaeonotus,Yellow-eyed junco,31.9,-109,19.42,0.85032,14.07023872,19.5,70.7,omn,"108, 156",
Birds,Junco phaeonotus,Yellow-eyed junco,31.9,-109,5.276666667,0.85032,10.128392,19.9,70.5,omn,"108, 156",
Birds,Melanerpes formicivorous,Acorn woodpecker,36,-121.5,12.6,,13.44330322,82,195,omn,"108, 151",
Birds,Melopsittacus undulatus,Budgerigar,-21.66666667,115.2,28.85,0.67612,13.29928529,27.9,59.1,omn,"108, 170",
Birds,Mirafra erythrochlamys,Dune lark,-23.55,15,15.85,,11.79029913,27.4,92.5,omn,161,
Birds,Morus capensis,Cape gannet,-32,18.2,23.33333333,,14.07336343,2580,3380,carn,"108, 1",
Birds,Nectarinia violacea,Orange-breasted sunbird,43,-91,21.85,6.19548,14.44207252,9.5,66.2,nect,"108, 160",
Birds,Neophema petrophila,Rock parrot,-30,115,24.45,0.79225,13.42207169,62.8,106,omn,"108, 170",
Birds,Passerculus sandwichensis,Savannah sparrow,30.51666667,-116,16.8,0.45419,13.5301693,18.7,73.8,omn,"108, 165",
Birds,Passerculus sandwichensis,Savannah sparrow,34.11666667,-119,15.96666667,,13.76257517,19.1,80.3,omn,"108, 166",
Birds,Passerculus sandwichensis,Savannah sparrow,34.11666667,-119,14.4,,13.34477144,16.97,67.7,omn,"108, 167",
Birds,Passerculus sandwichensis,Savannah sparrow,44.6,-66.75,15.66666667,4.18968,15.07662853,21.04375,156.0125,omn,"108, 158",
Birds,Philetairus socius,Sociable weaver,-24,17.5,13.96666667,1.07613,13.33213073,25.5,48.7,omn,"108, 164",
Birds,Phylidonyris novaehollandiae,New Holland honeyeater,-34.78333333,138.9,20.85,1.90387,12.74103885,17.3,77.6,nect,"108, 154",
Birds,Phylidonyris pyrrhoptera,Crescent honeyeater,-34.78333333,138.9,20.85,1.90387,12.74103885,14.6,75.9,nect,"108, 154",
Birds,Riparia riparia,Sand martin,56,-4,12.85,3.12387,17.26922409,14.3,81.7,carn,"108, 157",
Birds,Struthio camelus,Ostrich,-24,-15.9,22.2,,10.84753972,88300,18000,omn,"108, 169",
Birds,Tachycineta bicolor,Tree swallow,44.6,-66.75,15.35,4.18968,15.33876782,22.4,118,carn,"108, 159",
Birds,Acanthorhynchus tenuirostris,Eastern spinebill,-34.78333333,138.9,20.85,1.90387,12.74103885,9.7,53,nect,"108, 154",
Birds,Actitis hypoleucos,Common sandpiper,56,-4,11.5,,16.82380474,51.6,146,carn,"108, 138",
Birds,Aethia pusilla,Least auklet,62,-171,7.7,,15.83523264,80.3,349.8,carn,112,
Birds,Aethia pusilla,Least auklet,56.58333333,-169.5833333,7.366666667,,16.93865511,83.5,357.9,carn,"108, 124",
Birds,Alectoris chukar,Chukar,34.78333333,30.9,20.2,1.85226,,395,260,omn,"108, 68",
Birds,Alle alle,Dovekie,77,-15,3.1,,24,164,696,carn,"108, 43",
Birds,Ammoperdix heyi,Sand partridge,34.78333333,30.9,20.27,1.85226,,190,148,omn,"108, 68",
Birds,Anous stolidus,Brown noddy,24,-166,24.8,,13.47185134,195,352,carn,"108, 36",
Birds,Aptenodytes patagonicus,King penguin,-54.45,36.25,7.266666667,,14.5118127,12900,7410,carn,"108, 74",
Birds,Archilochus alexandri,Black-chinned hummingbird,31.83333333,-109,23.2,0.85032,13.90466232,3.7,29.1,nect,"108, 117",
Birds,Arenaria interpres,Ruddy turnstone,68.9,-79,2.85,,24,109,363.774,carn,116,
Birds,Auriparus flaviceps,Verdin,10.43333333,-84,24,,12.55957957,6.6,30,carn,"108, 155",
Birds,Calidris alba,Sanderling,8.733333333,-80.2,26.6,,11.5375215,48.78148148,100,carn,"108, 18",
Birds,Calidris alba,Sanderling,29.5,-93,10.1,10.2993,10.30181423,53.436,135,carn,"108, 18",
Birds,Calidris alba,Sanderling,-12.55,-76.5,22,,12.54561435,53.66363636,129,carn,"108, 18",
Birds,Calidris alba,Sanderling,39.91666667,-74.2,-2,,9.19539561,64.17647059,200,carn,"108, 18",
Birds,Callipepla gambelii,Gambel's quail,33.71666667,-116.4,32.03333333,10.3565,12.90572059,145,90.8,omn,"108, 51",
Birds,Calypte anna,Anna's hummingbird,33.5,-117.5,20.2,1.10452,12.29986692,4.5,31.8,nect,"108, 118",
Birds,Centrocercus urophasianus,Sage grouse,37.6,-118.7,4.85,2.07355,12.3706191,2500,1540,herb,"108, 146",
Birds,Cepphus grylle,Black guillemot,79,12,6.95,,24,380,860,carn,81,
Birds,Ceryle rudis,Pied kingfisher,0,35,19.3,8.80903,12,76,210,carn,"108, 121",
Birds,Chalybura urochrysia,Bronze-tailed plumeleteer,10.43333333,-84,24,,12.55957957,7.2,57.9,nect,"108, 155",
Birds,Charadrius hiaticula,Ringed plover,55.4,-0.5,11.45,,16.70025519,74.8,302,carn,"108, 138",
Birds,Cinclus cinclus,Dipper,56,-3.7,13.55,3.12387,15.9965691,64.28,84.45833333,carn,"108, 11",
Birds,Cinclus cinclus,Dipper,56,-4,4.64,3.12387,6.733593157,63.7,206,carn,"108, 13",
Birds,Cormobates leucophaeus,White-throated treecreeper,-34.78333333,138.9,21.9,1.90387,13.22972202,23.7,81.4,carn,"108, 153",
Birds,Delichon urbica,House martin,56.5,-4,11.53333333,3.12387,16.92047075,19.45,79.28333333,carn,"108, 15",
Birds,Delichon urbica,House martin,56.5,-4,10.23333333,3.12387,17.40303551,17.8,80.8,carn,"108, 61",
Birds,Diomedea chrysostoma,Grey-headed albatross,-54,-38,4.766666667,,16.32462153,3710,2390,carn,"108, 25",
Birds,Diomedea exulans,Wandering albatross,-46,52,9.6,,15.17309837,9.41,49.88947368,carn,131,
Birds,Diomedea immutabilis,Laysan albatross,-46.86666667,37.85,5,,9.864503476,3070,1330,carn,"108, 115",
Birds,Erithacus rubecula,Robin,56,-4,4.6,3.12387,7.294691874,19.5,63,carn,"12, 66",
Birds,Erithacus rubecula,Robin,56,-4,10.8,3.12387,16.81367161,18.7,71.3,carn,"108, 138",
Birds,Eudyptes chrysolophus,Macaroni penguin,-54,-38,4.114285714,,16.32462153,4270,2950,carn,"108, 30",
Birds,Eudyptula minor,Little penguin,-38.51666667,145.1333333,12.1,,11.6393716,1089,916,carn,"108, 23",
Birds,Eudyptula minor,Little penguin,-40.4,144.5,9.9,,9.363963434,1036.78,1207,carn,"108, 44",
Birds,Eudyptula minor,Little penguin,-40.4,144.5,11,,11.6143599,1052.965,1163.666667,carn,"108, 44",
Birds,Eudyptula minor,Little penguin,-40.4,144.5,14.8,,14.85538441,1074.615,1860.333333,carn,"108, 44",
Birds,Eudyptula minor,Little penguin,-40.4,144.5,13.4,,14.1735162,1121.81,1061.611111,carn,"108, 44",
Birds,Eudyptula minor,Little penguin,-40.4,144.5,15.6,,12.28422595,1368.43,657,carn,"108, 44",
Birds,Falco tinnunculus,Eurasian kestrel,63,23,14.1,3.59129,19.65231634,217,337.95,carn,"108, 67",
Birds,Falco tinnunculus,Eurasian kestrel,53.35,6.2,9.55,5.6071,,220,343,carn,"108, 79",
Birds,Ficedula albicollis,Collared flytcatcher,57.16666667,18,10.8,3.93,17.08005824,15.9,78.6,carn,"108, 87",
Birds,Ficedula hypoleuca,Pied flycatcher,40.8,-4,17.1,3.32839,14.9054342,12.63,70.95,carn,"108, 85",
Birds,Ficedula hypoleuca,Pied flycatcher,40.9,-4,17.1,3.32839,14.91623005,11.98,55.279,carn,89,
Birds,Ficedula hypoleuca,Pied flycatcher,56,-4,14.2,3.12387,17.28165127,13.735,64.465,carn,138,
Birds,Hirundo rustica,Barn swallow,38.83333333,-6.983333333,21.3,2.10903,14.70058941,17.22122535,87.48183099,carn,"108, 28",
Birds,Hirundo rustica,Barn swallow,56.13333333,-3.9,11.76666667,3.12387,17.31355454,18.7,109.6153846,carn,"108, 150",
Birds,Hirundo tahitica,Pacific Swallow,3.116666667,101.7,26.8,15.3916,12.17890675,14.07,76.6,carn,14,
Birds,Hirundo tahitica,Pacific Swallow,3,101.7,26.9,15.3916,12.15942312,14.68,53.16,carn,138,
Birds,Lampornis clemenciae,Blue-throated hummingbird,31.83333333,-109,23.2,0.85032,13.90466232,8.8,81.7,nect,"108, 117",
Birds,Macronectes giganteus,Giant petrel,-64.75,-64,1.1,,19.42835529,3890,4330,carn,"108, 110",
Birds,Malurus cyaneus,Superb blue wren,-34.78333333,138.9,21.9,1.90387,13.22972202,8.3,34.2,carn,"108, 153",
Birds,Merops viridis,Blue-throated bee-eater,3.116666667,101.7,26.7,15.3916,12.17890675,33.81,77.4,carn,14,
Birds,Merops viridis,Blue-throated bee-eater,3,101.7,26.9,15.3916,12.15942312,34.3,85.315,carn,138,
Birds,Morus bassanus (Sula bassanus),Northen gannet,49.9,-53.25,12.83333333,,13.62008798,3210,4865,carn,"1, 9","referred to as Morus bassanus in Adams et al 1991, which refers to Birt-Friesen, which refers to it as Sula bassanus. Original lat/long wrong, fixed now.  Duplicate, should not be included.  "
Birds,Muscicapa striata,Spotted flycatcher,56,-4,14.2,3.12387,17.28165127,14.4,52,carn,"108, 12",
Birds,Oceanites oceanus,Wilson's storm-petrel,-64.44,-64.03,1,,17.61163176,42.3,119,carn,"108, 111",
Birds,Oceanodroma leucorhoa,Leach's storm-petrel,44.6,-66.75,15.9,,15.07662853,44.8,87.05,carn,"108, 122",
Birds,Oenanthe oenanthe,Northern wheatear,56.56666667,16.6,12.66666667,,17.41958813,24.32631579,87.40526316,carn,"108, 83",
Birds,Oenanthe oenanthe,Northern wheatear,56.11666667,-4,13,3.12387,17.30954846,24.3,95.3,carn,"108, 137",
Birds,Pachyptila desolata,Antarctic prion,-54,-38,4.675,,13.47528135,149,391,carn,"108, 139",
Birds,Parus ater,Coal tit,59.9,17.6,-3.3,3.46226,5.692730032,9.5,47.4,carn,"108, 84",
Birds,Parus caeruleus,Blue tit,51.75,-1,13.4,3.92677,16.04479465,11.5,64,carn,"108, 138",
Birds,Parus cinctus,Siberian tit,67,21,-11.3,2.8071,3.115090309,12.8,51.4,carn,"108, 17",
Birds,Parus cristatus,Crested tit,59.9,17.6,-3.3,3.46226,5.692730032,11.1,40.6,carn,"108, 84",
Birds,Parus major,Great tit,56,-4,3,3.12387,7.294691874,18.9,56,omn,12,
